# {
#     "changing_threshold": 0.2,
#     "command": "/g100/home/userexternal/xdhori00/.conda/envs/majiq/bin/voila tsv --threshold 0.2 -j 30 output/splicegraph.sql output/oocyte-cumulus.deltapsi.voila -f ../output_tsv/PRJNA649934_voila.tsv",
#     "group_sizes": {
#         "cumulus": 4,
#         "oocyte": 6
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.4.dev102+g2cae1507"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	oocyte_mean_psi	cumulus_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
TATDN1	ENSG00000147687.19	ENSG00000147687.19:s:124518742-124518881	-0.2268;0.0000;0.2196	6.875e-01;5.487e-21;6.436e-01	3.276e-05;1.000e+00;7.540e-05	0.9503;0.0011;0.0486	0.7228;0.0078;0.2707	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr8	-	124516030-124518818;124508688-124518818;124516030-124518742	124508603-124508688;124515887-124516030;124518742-124518881		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A124518881-124508603
TATDN1	ENSG00000147687.19	ENSG00000147687.19:t:124515887-124516030	-0.0000;-0.0001;-0.2156;0.2178	5.487e-21;5.523e-21;6.193e-01;6.335e-01	1.000e+00;9.952e-01;1.565e-04;6.733e-05	0.0008;0.0166;0.9380;0.0475	0.0006;0.0200;0.7142;0.2676	t|1e1.1o2|1e2.1o1|1e3.1o2|1e3.2o2	4	4	0;0;0;0	chr8	-	124516030-124539025;124516030-124522937;124516030-124518818;124516030-124518742	124515887-124516030;124518742-124518881;124522937-124523002;124538928-124539458		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr8%3A124539458-124515887
MSI2	ENSG00000153944.12	ENSG00000153944.12:s:57625572-57627303	-0.0121;-0.5167;-0.1918;0.0000;0.7689	9.478e-21;1.000e+00;4.328e-01;5.488e-21;1.000e+00	7.004e-01;1.477e-14;7.218e-08;9.999e-01;8.248e-21	0.0510;0.7246;0.2126;0.0003;0.0090	0.0018;0.2172;0.0018;0.0018;0.7771	s|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	5	5	1;0;1;0;0	chr17	+	57627303-57631082;57627303-57631791;57627303-57632402;57627303-57650650;57627303-57652099	57625572-57627303;57631082-57631283;57631791-57633183;57650650-57650673;57652099-57652161		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A57652161-57625572
MSI2	ENSG00000153944.12	ENSG00000153944.12:t:57615970-57616631	0.9743;-0.9735;-0.0003	1.000e+00;1.000e+00;5.583e-21	1.501e-21;0.000e+00;9.874e-01	0.0004;0.9689;0.0307	0.9941;0.0029;0.0029	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;1	chr17	+	57596950-57615970;57606664-57615970;57608477-57615970	na-57606664;na-57608477;57596868-57596950;57615970-57616631		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A57616631-57596868
POP5	ENSG00000167272.11	ENSG00000167272.11:s:120580596-120581336	0.3502;-0.3507;0.0000	9.930e-01;9.932e-01;5.487e-21	2.153e-08;1.942e-08;1.000e+00	0.5343;0.4645;0.0012	0.8889;0.1093;0.0017	s|1e1.1o1|1e2.1o1|2e1.1o1	3	3	0;0;0	chr12	-	120579923-120581115;120579597-120581115;120579923-120580996	120579514-120579625;120579774-120580139;120580596-120581336		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A120581336-120579514
POP5	ENSG00000167272.11	ENSG00000167272.11:t:120579514-120579625	-0.2085;0.2085	5.807e-01;5.807e-01	6.907e-06;6.908e-06	0.2714;0.7286	0.0630;0.9370	t|1e1.1o2|1e2.1o1	2	3	0;0	chr12	-	120579597-120581115;120579597-120579774	120579514-120579625;120579774-120580139;120580596-120581336		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A120581336-120579514
MFF	ENSG00000168958.21	ENSG00000168958.21:s:227325151-227325427	-0.2073;-0.0067;0.1983	5.575e-01;1.380e-13;5.007e-01	1.652e-05;6.898e-01;1.645e-10	0.8468;0.1510;0.0015	0.6418;0.1413;0.2164	s|1e1.1o1|1e2.2o2|1e3.1o1	3	4	0;0;0	chr2	+	227325427-227328678;227325427-227330626;227325427-227332419	227325151-227325427;227328678-227328899;227330595-227330689;227332419-227332588		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227332588-227325151
MFF	ENSG00000168958.21	ENSG00000168958.21:s:227340292-227340561	0.0999;0.3138;-0.1203;-0.2783	8.240e-06;9.960e-01;1.886e-02;9.358e-01	3.023e-02;2.772e-19;1.093e-02;3.588e-09	0.0342;0.0837;0.1802;0.6980	0.1267;0.3846;0.0580;0.4279	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	227340380-227342745;227340380-227347226;227340380-227352514;227340380-227355677	227340292-227340561;227342745-227342819;227346725-227347384;227351681-227352573;227355298-227355761		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227355761-227340292
MFF	ENSG00000168958.21	ENSG00000168958.21:t:227351681-227352573	-0.6434;0.6440;-0.0000	1.000e+00;1.000e+00;5.487e-21	0.000e+00;1.452e-20;1.000e+00	0.7420;0.2565;0.0016	0.1128;0.8863;0.0010	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr2	+	227340380-227352514;227347384-227352514;227350968-227352514	227340292-227340561;227346725-227347384;227350936-227350968;227351681-227352573		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227352573-227340292
MFF	ENSG00000168958.21	ENSG00000168958.21:t:227355298-227355761	-0.3065;0.0000;0.0139;0.2704	9.872e-01;5.490e-21;9.623e-21;9.436e-01	2.979e-11;9.996e-01;6.775e-01;4.464e-09	0.7392;0.0181;0.0177;0.2232	0.4367;0.0210;0.0517;0.4868	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr2	+	227340380-227355677;227342819-227355677;227347384-227355677;227352573-227355677	227340292-227340561;227342745-227342819;227346725-227347384;227351681-227352573;227355298-227355761		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A227355761-227340292
ANGEL2	ENSG00000174606.14	ENSG00000174606.14:t:213013093-213013418	-0.5110;0.5110	1.000e+00;1.000e+00	0.000e+00;2.765e-17	0.9911;0.0089	0.4777;0.5223	t|1e1.1o2|1e2.1o1	2	3	0;0	chr1	-	213013418-213015613;213013418-213015226	213013093-213013418;213015226-213015493;213015609-213015867		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A213015867-213013093
ZFP1	ENSG00000184517.12	ENSG00000184517.12:t:75152909-75152966	0.3094;0.0216;-0.3755	8.375e-01;5.488e-03;9.478e-01	1.914e-03;4.428e-01;2.069e-04	0.5214;0.0033;0.4755	0.8522;0.0513;0.0948	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr16	+	75148643-75152909;75148662-75152909;75149267-75152909	75148494-75148662;75149051-75149267;75152909-75152966		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A75152966-75148494
UMAD1	ENSG00000219545.12	ENSG00000219545.12:s:7673309-7673453	-0.0781;0.0000;-0.3014;0.0000;0.4045	9.358e-02;5.490e-21;9.448e-01;5.490e-21;9.774e-01	1.141e-01;9.995e-01;1.257e-05;9.995e-01;2.524e-05	0.2864;0.0011;0.3441;0.0011;0.3765	0.1771;0.0024;0.0353;0.0024;0.7777	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1	5	6	0;0;1;0;0	chr7	+	7673453-7676102;7673453-7689335;7673453-7720913;7673453-7738711;7673453-7801670	7673309-7673453;7676102-7676208;7689335-7689460;7720913-na;7738711-7738891;7801670-7801743		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A7801743-7673309
TRAPPC6A	ENSG00000007255.10	ENSG00000007255.10:s:45178093-45178237	-0.2584;-0.0360;0.2751;0.0182	7.515e-01;8.342e-03;8.423e-01;2.257e-09	1.508e-03;2.913e-01;3.279e-04;6.144e-01	0.6940;0.1608;0.1225;0.0030	0.4340;0.1063;0.4047;0.0547	s|1e1.1o1|1e2.1o1|2e1.1o1|2e2.1o1	4	3	0;0;0;0	chr19	-	45165194-45178135;45164970-45178135;45165194-45178093;45164970-45178093	45164725-45164970;45165127-45165194;45178093-45178237		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A45178237-45164725
CSDE1	ENSG00000009307.17	ENSG00000009307.17:s:114737963-114738072	-0.3343;0.3343	1.000e+00;1.000e+00	0.000e+00;2.668e-20	0.4127;0.5873	0.0884;0.9116	s|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	114737563-114737963;114736855-114737963	114736758-114736855;114737471-114737563;114737963-114738072		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A114738072-114736758
CSDE1	ENSG00000009307.17	ENSG00000009307.17:t:114736758-114736855	0.3110;-0.3110	9.892e-01;9.892e-01	6.760e-16;3.331e-16	0.6073;0.3927	0.9132;0.0868	t|1e1.1o1|1e2.1o1	2	3	0;0	chr1	-	114736855-114737963;114736855-114737471	114736758-114736855;114737471-114737563;114737963-114738072		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A114738072-114736758
ERLEC1	ENSG00000068912.15	ENSG00000068912.15:s:53801713-53803532	-0.2913;-0.0000;0.2906;-0.0000	9.498e-01;5.487e-21;9.511e-01;5.487e-21	1.005e-07;1.000e+00;7.425e-08;1.000e+00	0.9716;0.0015;0.0257;0.0015	0.6779;0.0012;0.3196;0.0012	s|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1	4	4	0;0;0;0	chr2	+	53801842-53808299;53801842-53808303;53801842-53809214;53801842-53817898	53801713-53803532;53808299-53808467;53809214-53810214;53817898-53820193		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A53820193-53801713
ERLEC1	ENSG00000068912.15	ENSG00000068912.15:t:53809214-53810214	0.0000;0.0000;0.2789;-0.2861;0.0000	5.487e-21;5.489e-21;9.374e-01;9.516e-01;5.487e-21	1.000e+00;9.998e-01;7.992e-09;5.428e-09;1.000e+00	0.0008;0.0008;0.0172;0.9803;0.0008	0.0009;0.0054;0.3097;0.6833;0.0009	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o2|1e4.2o2	5	5	0;0;0;0;0	chr2	+	53797795-53809214;53799081-53809214;53801842-53809214;53808460-53809214;53808467-53809214	53797732-53797795;53799047-53800366;53801713-53803532;53808299-53808467;53809214-53810214		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A53810214-53797732
MOK	ENSG00000080823.23	ENSG00000080823.23:t:102263537-102264651	-0.4686;0.0002;0.4623	9.989e-01;1.451e-07;9.986e-01	1.135e-07;9.922e-01;1.798e-07	0.5969;0.0012;0.4019	0.1383;0.0066;0.8549	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;0;0	chr14	-	102263616-102283478;102263616-102277299;102263616-102265823	102263537-102264651;102265823-102265912;102277299-102277450;102283131-102283592		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A102283592-102263537
BZW1	ENSG00000082153.18	ENSG00000082153.18:t:200813208-200813404	-0.0000;-0.1457;-0.0252;0.2048;-0.0000;-0.0000;-0.0000;-0.0000	5.488e-21;1.935e-01;2.438e-04;5.283e-01;5.488e-21;5.488e-21;5.488e-21;5.488e-21	1.000e+00;2.072e-02;4.683e-01;3.720e-03;1.000e+00;1.000e+00;1.000e+00;1.000e+00	0.0011;0.2284;0.0603;0.7070;0.0011;0.0011;0.0011;0.0011	0.0002;0.0735;0.0047;0.9118;0.0002;0.0096;0.0002;0.0002	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1|1e6.1o1|1e7.1o1	8	8	0;0;0;0;0;0;0;0	chr2	+	200810697-200813208;200811727-200813208;200811946-200813208;200811990-200813208;200812309-200813208;200812493-200813208;200812885-200813208;200813050-200813208	200810594-200810697;200811546-200811727;200811910-200811990;200812185-200812309;200812356-200812493;200812676-200812885;200812989-200813050;200813208-200813404		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A200813404-200810594
MYNN	ENSG00000085274.16	ENSG00000085274.16:t:169774265-169774561	0.3856;-0.3856	9.594e-01;9.594e-01	6.419e-05;6.419e-05	0.2005;0.7995	0.5809;0.4191	t|1e1.1o1|1e2.1o1	2	3	0;0	chr3	+	169773462-169774265;169774097-169774265	169773396-169773462;169774031-169774097;169774265-169774561		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A169774561-169773396
CCNK	ENSG00000090061.17	ENSG00000090061.17:s:99481338-99481614	0.0000;0.2767;-0.2773	5.487e-21;9.349e-01;9.361e-01	1.000e+00;7.814e-08;7.148e-08	0.0004;0.5748;0.4248	0.0009;0.8476;0.1515	s|1e1.1o1|1e2.1o1|2e2.1o1	3	3	0;0;0	chr14	+	99481479-99491946;99481479-99492626;99481614-99492626	99481338-99481614;99491946-99492320;99492626-99493103		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A99493103-99481338
CCNK	ENSG00000090061.17	ENSG00000090061.17:t:99492626-99493103	0.2756;-0.2771;0.0000	9.307e-01;9.356e-01;5.487e-21	8.144e-08;7.130e-08;1.000e+00	0.5730;0.4241;0.0015	0.8453;0.1514;0.0033	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr14	+	99481479-99492626;99481614-99492626;99492320-99492626	99481338-99481614;99491946-99492320;99492626-99493103		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A99493103-99481338
GNPNAT1	ENSG00000100522.10	ENSG00000100522.10:t:52784495-52784664	0.2907;-0.2986;0.0023;0.0000	9.406e-01;9.682e-01;1.411e-09;5.487e-21	5.525e-07;1.462e-10;9.090e-01;1.000e+00	0.6792;0.3182;0.0013;0.0013	0.9704;0.0016;0.0265;0.0016	t|1e1.1o1|1e2.1o1|1e3.1o1|2e1.1o1	4	4	0;1;0;0	chr14	-	52784664-52791428;52784664-52790958;52784664-52787833;52784654-52791428	52784495-52784664;52787833-52787871;52790958-na;52791428-52791668		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A52791668-52784495
MOSPD1	ENSG00000101928.13	ENSG00000101928.13:t:134887632-134889192	0.2325;-0.2325	6.581e-01;6.581e-01	3.896e-03;3.896e-03	0.3553;0.6447	0.5974;0.4026	t|1e1.1o2|1e2.1o1	2	3	0;0	chrX	-	134889192-134896817;134889192-134891479	134887632-134889192;134891479-134891640;134896814-134897034		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A134897034-134887632
LMBR1	ENSG00000105983.23	ENSG00000105983.23:t:156826599-156826744	0.0177;0.5128;0.0001;-0.2029;-0.3144	5.106e-03;9.975e-01;1.937e-07;5.125e-01;9.695e-01	4.967e-01;2.684e-06;9.945e-01;4.014e-04;1.342e-06	0.0014;0.4274;0.0014;0.2315;0.3440	0.0512;0.9392;0.0045;0.0045;0.0045	t|1e1.1o1|1e2.1o2|1e2.2o2|1e3.1o1|1e4.1o1	5	5	0;0;0;1;1	chr7	-	156826744-156892928;156826744-156833753;156826744-156833739;156826744-156829759;156826744-156827898	156826599-156826744;156827898-na;156829759-na;156833478-156833792;156892928-156893216		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A156893216-156826599
NDUFC1	ENSG00000109390.13	ENSG00000109390.13:t:139295732-139295960	0.6701;0.0000;-0.0002;-0.6828;0.0291;0.0056;-0.0168	1.000e+00;5.487e-21;5.550e-21;1.000e+00;1.653e-08;3.950e-10;1.103e-20	1.359e-20;1.000e+00;9.917e-01;0.000e+00;5.095e-01;8.136e-01;6.424e-01	0.1620;0.0004;0.0160;0.7400;0.0159;0.0163;0.0525	0.8112;0.0005;0.0076;0.0773;0.0617;0.0386;0.0005	t|1e1.1o1|1e2.1o1|1e3.1o2|1e3.2o2|1e4.1o1|1e5.1o1|2e3.2o2	7	6	0;0;0;0;0;0;1	chr4	-	139295960-139302416;139295960-139301292;139295960-139300964;139295960-139300602;139295960-139297385;139295960-139296332;139295956-139300602	139295732-139295960;139296332-139296367;139297385-139297443;139300602-139301233;139301292-139301420;139302416-139302551		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr4%3A139302551-139295732
ZNF451	ENSG00000112200.17	ENSG00000112200.17:s:57099061-57099141	0.0744;0.2584;-0.0006;-0.3351	1.244e-05;8.598e-01;7.850e-10;9.837e-01	1.657e-01;1.447e-04;9.742e-01;4.401e-07	0.0163;0.0448;0.0176;0.9222	0.1104;0.3021;0.0006;0.5882	s|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr6	+	57099141-57099469;57099141-57100603;57099141-57124429;57099141-57124734	57099061-57099141;57099469-57099610;57100603-57100953;57124429-57124523;57124734-57124859		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A57124859-57099061
PPP1R7	ENSG00000115685.15	ENSG00000115685.15:s:241166337-241166441	-0.2821;0.2821	9.588e-01;9.588e-01	5.772e-10;5.783e-10	0.8113;0.1887	0.5297;0.4703	s|1e1.1o1|1e2.1o1	2	3	0;0	chr2	+	241166441-241167045;241166441-241169781	241166337-241166441;241167045-241167174;241169781-241169892		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A241169892-241166337
USP45	ENSG00000123552.18	ENSG00000123552.18:t:99488681-99488820	0.8511;-0.8190;0.0001	1.000e+00;1.000e+00;8.830e-07	6.710e-21;0.000e+00;9.782e-01	0.1433;0.8240;0.0338	0.9845;0.0078;0.0078	t|1e1.1o1|1e2.1o1|2e2.1o1	3	3	0;1;1	chr6	-	99488820-99503765;99488820-99499530;99488807-99499530	99488681-99488820;99499530-99499691;99503765-99503865		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A99503865-99488681
RALY	ENSG00000125970.12	ENSG00000125970.12:s:34073610-34073635	-0.3793;0.3793	9.908e-01;9.908e-01	6.019e-07;6.016e-07	0.9504;0.0496	0.5676;0.4324	s|1e1.1o1|1e2.1o1	2	3	0;0	chr20	+	34073635-34073819;34073635-34075874	34073610-34073635;34073819-34073866;34075874-34076229		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34076229-34073610
RALY	ENSG00000125970.12	ENSG00000125970.12:t:34075874-34076229	0.3755;-0.3755	9.872e-01;9.872e-01	1.543e-06;1.543e-06	0.0421;0.9579	0.4187;0.5813	t|1e1.1o1|1e2.1o1	2	3	0;0	chr20	+	34073635-34075874;34073866-34075874	34073610-34073635;34073819-34073866;34075874-34076229		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A34076229-34073610
