#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-miR-2114-5p	0.00	hsa-mir-2114	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-3p	0.00	hsa-mir-2114	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2115-3p	15.00	hsa-mir-2115	15.00	1.00	2.00	0	12.00	0	0	0.64	0.79	0	2.71	0	0
hsa-miR-2115-5p	0.00	hsa-mir-2115	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2116-5p	3.00	hsa-mir-2116	3.00	0	3.00	0	0	0	0	0	1.19	0	0	0	0
hsa-miR-2116-3p	11.00	hsa-mir-2116	11.00	2.00	7.00	1.00	1.00	0	0	1.29	2.77	1.52	0.23	0	0
hsa-miR-2117	0.00	hsa-mir-2117	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-212-3p	6974.00	hsa-mir-212	6974.00	529.00	696.00	264.00	3029.00	636.00	1820.00	340.27	275.32	400.75	684.55	314.07	908.54
hsa-miR-212-5p	10584.00	hsa-mir-212	10584.00	464.00	1357.00	439.00	3517.00	2125.00	2682.00	298.46	536.79	666.40	794.84	1049.35	1338.85
hsa-miR-214-5p	3.00	hsa-mir-214	3.00	0	0	2.00	0	0	1.00	0	0	3.04	0	0	0.50
hsa-miR-214-3p	102.00	hsa-mir-214	102.00	7.00	30.00	14.00	6.00	42.00	3.00	4.50	11.87	21.25	1.36	20.74	1.50
hsa-miR-215-3p	0.00	hsa-mir-215	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-215-5p	387.00	hsa-mir-215	387.00	31.00	55.00	13.00	170.00	49.00	69.00	19.94	21.76	19.73	38.42	24.20	34.44
hsa-miR-216a-5p	1.00	hsa-mir-216a	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-216a-3p	6.00	hsa-mir-216a	6.00	2.00	1.00	3.00	0	0	0	1.29	0.40	4.55	0	0	0
hsa-miR-216b-3p	1.00	hsa-mir-216b	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-216b-5p	1.00	hsa-mir-216b	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-217-3p	0.00	hsa-mir-217	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-217-5p	3.00	hsa-mir-217	3.00	0	0	0	3.00	0	0	0	0	0	0.68	0	0
hsa-miR-218-5p	43.00	hsa-mir-218-1	43.00	4.00	8.00	2.00	7.00	5.00	17.00	2.57	3.16	3.04	1.58	2.47	8.49
hsa-miR-218-1-3p	0.00	hsa-mir-218-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	37.00	hsa-mir-218-2	37.00	4.00	8.00	2.00	5.00	3.00	15.00	2.57	3.16	3.04	1.13	1.48	7.49
hsa-miR-218-2-3p	0.00	hsa-mir-218-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-5p	14.00	hsa-mir-219a-1	14.00	0	5.00	0	7.00	2.00	0	0	1.98	0	1.58	0.99	0
hsa-miR-219a-1-3p	57.00	hsa-mir-219a-1	57.00	7.00	23.00	8.00	11.00	4.00	4.00	4.50	9.10	12.14	2.49	1.98	2.00
hsa-miR-219a-2-3p	0.00	hsa-mir-219a-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219a-5p	0.00	hsa-mir-219a-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	3.00	hsa-mir-219b	3.00	0	1.00	0	2.00	0	0	0	0.40	0	0.45	0	0
hsa-miR-219b-3p	1.00	hsa-mir-219b	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-22-3p	139767.00	hsa-mir-22	139767.00	19595.00	43806.00	18657.00	27729.00	8233.00	21747.00	12604.03	17328.27	28321.35	6266.76	4065.56	10856.03
hsa-miR-22-5p	623.00	hsa-mir-22	623.00	87.00	239.00	32.00	164.00	33.00	68.00	55.96	94.54	48.58	37.06	16.30	33.95
hsa-miR-221-3p	1304.00	hsa-mir-221	1304.00	79.00	281.00	24.00	586.00	204.00	130.00	50.81	111.15	36.43	132.44	100.74	64.90
hsa-miR-221-5p	2870.00	hsa-mir-221	2870.00	273.00	1495.00	179.00	508.00	251.00	164.00	175.60	591.37	271.72	114.81	123.95	81.87
hsa-miR-222-5p	52.00	hsa-mir-222	52.00	9.00	29.00	4.00	3.00	1.00	6.00	5.79	11.47	6.07	0.68	0.49	3.00
hsa-miR-222-3p	1135.00	hsa-mir-222	1135.00	126.00	247.00	118.00	407.00	177.00	60.00	81.05	97.71	179.12	91.98	87.40	29.95
hsa-miR-223-3p	9481.00	hsa-mir-223	9481.00	711.00	56.00	52.00	7612.00	407.00	643.00	457.33	22.15	78.94	1720.31	200.98	320.98
hsa-miR-223-5p	88.00	hsa-mir-223	88.00	6.00	0	2.00	65.00	9.00	6.00	3.86	0	3.04	14.69	4.44	3.00
hsa-miR-224-5p	55.00	hsa-mir-224	55.00	10.00	1.00	0	23.00	16.00	5.00	6.43	0.40	0	5.20	7.90	2.50
hsa-miR-224-3p	1.00	hsa-mir-224	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-2276-3p	0.00	hsa-mir-2276	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2276-5p	0.00	hsa-mir-2276	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2277-3p	11.00	hsa-mir-2277	11.00	2.00	2.00	1.00	5.00	0	1.00	1.29	0.79	1.52	1.13	0	0.50
hsa-miR-2277-5p	87.00	hsa-mir-2277	87.00	4.00	24.00	5.00	32.00	3.00	19.00	2.57	9.49	7.59	7.23	1.48	9.48
hsa-miR-2278	2.00	hsa-mir-2278	2.00	0	0	1.00	1.00	0	0	0	0	1.52	0.23	0	0
hsa-miR-2355-5p	260.00	hsa-mir-2355	260.00	21.00	68.00	12.00	83.00	26.00	50.00	13.51	26.90	18.22	18.76	12.84	24.96
hsa-miR-2355-3p	36.00	hsa-mir-2355	36.00	1.00	13.00	1.00	17.00	0	4.00	0.64	5.14	1.52	3.84	0	2.00
hsa-miR-2392	0.00	hsa-mir-2392	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-3p	6806.00	hsa-mir-23a	6806.00	1378.00	593.00	243.00	2766.00	723.00	1103.00	886.37	234.57	368.87	625.12	357.03	550.61
hsa-miR-23a-5p	21.00	hsa-mir-23a	21.00	2.00	4.00	3.00	9.00	2.00	1.00	1.29	1.58	4.55	2.03	0.99	0.50
hsa-miR-23b-3p	15055.00	hsa-mir-23b	15055.00	2074.00	1286.00	605.00	5622.00	2323.00	3145.00	1334.05	508.70	918.39	1270.57	1147.13	1569.97
hsa-miR-23b-5p	63.00	hsa-mir-23b	63.00	11.00	25.00	11.00	7.00	7.00	2.00	7.08	9.89	16.70	1.58	3.46	1.00
hsa-miR-23c	21.00	hsa-mir-23c	21.00	7.00	0	2.00	7.00	3.00	2.00	4.50	0	3.04	1.58	1.48	1.00
hsa-miR-24-1-5p	19.00	hsa-mir-24-1	19.00	5.00	4.00	0	9.00	1.00	0	3.22	1.58	0	2.03	0.49	0
hsa-miR-24-3p	23118.00	hsa-mir-24-1	23118.00	1097.00	4524.00	645.00	11643.00	2121.00	3088.00	705.62	1789.55	979.11	2631.32	1047.38	1541.52
hsa-miR-24-3p	23042.00	hsa-mir-24-2	23042.00	1084.00	4506.00	639.00	11618.00	2111.00	3084.00	697.26	1782.43	970.00	2625.67	1042.44	1539.52
hsa-miR-24-2-5p	168.00	hsa-mir-24-2	168.00	14.00	33.00	15.00	57.00	14.00	35.00	9.01	13.05	22.77	12.88	6.91	17.47
hsa-miR-2467-5p	35.00	hsa-mir-2467	35.00	4.00	8.00	2.00	13.00	3.00	5.00	2.57	3.16	3.04	2.94	1.48	2.50
hsa-miR-2467-3p	1.00	hsa-mir-2467	1.00	0	1.00	0	0	0	0	0	0.40	0	0	0	0
hsa-miR-25-5p	508.00	hsa-mir-25	508.00	38.00	232.00	82.00	82.00	50.00	24.00	24.44	91.77	124.48	18.53	24.69	11.98
hsa-miR-25-3p	20263.00	hsa-mir-25	20263.00	2640.00	2695.00	486.00	9331.00	3280.00	1831.00	1698.12	1066.06	737.75	2108.81	1619.71	914.03
hsa-miR-2681-5p	0.00	hsa-mir-2681	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2681-3p	0.00	hsa-mir-2681	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-3p	0.00	hsa-mir-2682	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	3.00	hsa-mir-2682	3.00	0	1.00	0	1.00	0	1.00	0	0.40	0	0.23	0	0.50
hsa-miR-26a-5p	450283.00	hsa-mir-26a-1	450283.00	48472.00	100500.00	19590.00	117496.00	84045.00	80180.00	31178.50	39754.62	29737.64	26554.11	41502.51	40025.60
hsa-miR-26a-1-3p	11.00	hsa-mir-26a-1	11.00	3.00	0	0	6.00	1.00	1.00	1.93	0	0	1.36	0.49	0.50
hsa-miR-26a-5p	450571.00	hsa-mir-26a-2	450571.00	48539.00	100570.00	19599.00	117544.00	84093.00	80226.00	31221.60	39782.31	29751.31	26564.96	41526.22	40048.56
hsa-miR-26a-2-3p	33.00	hsa-mir-26a-2	33.00	14.00	6.00	3.00	5.00	1.00	4.00	9.01	2.37	4.55	1.13	0.49	2.00
hsa-miR-26b-5p	10217.00	hsa-mir-26b	10217.00	902.00	1053.00	127.00	4934.00	1874.00	1327.00	580.19	416.53	192.79	1115.08	925.41	662.43
hsa-miR-26b-3p	217.00	hsa-mir-26b	217.00	25.00	55.00	16.00	73.00	27.00	21.00	16.08	21.76	24.29	16.50	13.33	10.48
hsa-miR-27a-5p	1530.00	hsa-mir-27a	1530.00	69.00	315.00	32.00	775.00	106.00	233.00	44.38	124.60	48.58	175.15	52.34	116.31
hsa-miR-27a-3p	10663.00	hsa-mir-27a	10663.00	902.00	1181.00	259.00	5932.00	670.00	1719.00	580.19	467.17	393.16	1340.63	330.85	858.12
hsa-miR-27b-5p	566.00	hsa-mir-27b	566.00	51.00	240.00	49.00	129.00	54.00	43.00	32.80	94.94	74.38	29.15	26.67	21.47
hsa-miR-27b-3p	235669.00	hsa-mir-27b	235669.00	24456.00	39235.00	6286.00	88544.00	17569.00	59579.00	15730.76	15520.12	9542.16	20010.96	8675.80	29741.65
hsa-miR-28-3p	13487.00	hsa-mir-28	13487.00	1707.00	4972.00	1391.00	2920.00	1255.00	1242.00	1097.99	1966.77	2111.54	659.92	619.74	620.00
hsa-miR-28-5p	4585.00	hsa-mir-28	4585.00	820.00	1570.00	315.00	1008.00	326.00	546.00	527.45	621.04	478.17	227.81	160.98	272.56
hsa-miR-2861	0.00	hsa-mir-2861	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2909	0.00	hsa-mir-2909	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-296-5p	19.00	hsa-mir-296	19.00	4.00	2.00	0	8.00	2.00	3.00	2.57	0.79	0	1.81	0.99	1.50
hsa-miR-296-3p	185.00	hsa-mir-296	185.00	14.00	101.00	23.00	21.00	7.00	19.00	9.01	39.95	34.91	4.75	3.46	9.48
hsa-miR-297	0.00	hsa-mir-297	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-298	0.00	hsa-mir-298	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-5p	27.00	hsa-mir-299	27.00	3.00	0	3.00	12.00	0	9.00	1.93	0	4.55	2.71	0	4.49
hsa-miR-299-3p	29.00	hsa-mir-299	29.00	2.00	2.00	3.00	9.00	5.00	8.00	1.29	0.79	4.55	2.03	2.47	3.99
hsa-miR-29a-5p	7.00	hsa-mir-29a	7.00	2.00	0	0	2.00	0	3.00	1.29	0	0	0.45	0	1.50
hsa-miR-29a-3p	11006.00	hsa-mir-29a	11006.00	1225.00	1257.00	371.00	5040.00	1105.00	2008.00	787.95	497.23	563.18	1139.04	545.66	1002.39
hsa-miR-29b-1-5p	90.00	hsa-mir-29b-1	90.00	10.00	37.00	1.00	27.00	14.00	1.00	6.43	14.64	1.52	6.10	6.91	0.50
hsa-miR-29b-3p	267.00	hsa-mir-29b-1	267.00	33.00	6.00	2.00	151.00	52.00	23.00	21.23	2.37	3.04	34.13	25.68	11.48
hsa-miR-29b-2-5p	22.00	hsa-mir-29b-2	22.00	2.00	2.00	0	9.00	8.00	1.00	1.29	0.79	0	2.03	3.95	0.50
hsa-miR-29b-3p	275.00	hsa-mir-29b-2	275.00	34.00	7.00	2.00	154.00	54.00	24.00	21.87	2.77	3.04	34.80	26.67	11.98
hsa-miR-29c-3p	251.00	hsa-mir-29c	251.00	27.00	12.00	2.00	162.00	27.00	21.00	17.37	4.75	3.04	36.61	13.33	10.48
hsa-miR-29c-5p	159.00	hsa-mir-29c	159.00	12.00	13.00	2.00	77.00	38.00	17.00	7.72	5.14	3.04	17.40	18.76	8.49
hsa-miR-300	0.00	hsa-mir-300	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-301a-5p	12.00	hsa-mir-301a	12.00	1.00	0	0	10.00	0	1.00	0.64	0	0	2.26	0	0.50
hsa-miR-301a-3p	20.00	hsa-mir-301a	20.00	3.00	1.00	2.00	8.00	3.00	3.00	1.93	0.40	3.04	1.81	1.48	1.50
hsa-miR-301b-5p	2.00	hsa-mir-301b	2.00	0	0	2.00	0	0	0	0	0	3.04	0	0	0
hsa-miR-301b-3p	2.00	hsa-mir-301b	2.00	0	0	0	1.00	0	1.00	0	0	0	0.23	0	0.50
hsa-miR-302a-3p	0.00	hsa-mir-302a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302a-5p	0.00	hsa-mir-302a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-5p	0.00	hsa-mir-302b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302b-3p	0.00	hsa-mir-302b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-5p	0.00	hsa-mir-302c	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302c-3p	0.00	hsa-mir-302c	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-3p	0.00	hsa-mir-302d	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302d-5p	0.00	hsa-mir-302d	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302e	0.00	hsa-mir-302e	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-302f	0.00	hsa-mir-302f	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3059-5p	0.00	hsa-mir-3059	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3059-3p	0.00	hsa-mir-3059	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3064-5p	13.00	hsa-mir-3064	13.00	0	3.00	0	4.00	6.00	0	0	1.19	0	0.90	2.96	0
hsa-miR-3064-3p	4.00	hsa-mir-3064	4.00	0	0	0	4.00	0	0	0	0	0	0.90	0	0
hsa-miR-3065-3p	18.00	hsa-mir-3065	18.00	1.00	2.00	1.00	6.00	6.00	2.00	0.64	0.79	1.52	1.36	2.96	1.00
hsa-miR-3065-5p	26.00	hsa-mir-3065	26.00	6.00	3.00	1.00	4.00	3.00	9.00	3.86	1.19	1.52	0.90	1.48	4.49
hsa-miR-3074-5p	35.00	hsa-mir-3074	35.00	2.00	13.00	7.00	6.00	3.00	4.00	1.29	5.14	10.63	1.36	1.48	2.00
hsa-miR-3074-3p	17.00	hsa-mir-3074	17.00	6.00	0	2.00	5.00	3.00	1.00	3.86	0	3.04	1.13	1.48	0.50
hsa-miR-3085-3p	0.00	hsa-mir-3085	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3085-5p	0.00	hsa-mir-3085	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30a-5p	392502.00	hsa-mir-30a	392502.00	14697.00	20190.00	4170.00	190102.00	63209.00	100134.00	9453.51	7986.53	6330.07	42963.08	31213.43	49986.57
hsa-miR-30a-3p	2055.00	hsa-mir-30a	2055.00	73.00	161.00	21.00	1099.00	379.00	322.00	46.96	63.69	31.88	248.37	187.16	160.74
hsa-miR-30b-5p	25520.00	hsa-mir-30b	25520.00	3776.00	1927.00	616.00	11863.00	2282.00	5056.00	2428.83	762.26	935.09	2681.04	1126.88	2523.94
hsa-miR-30b-3p	93.00	hsa-mir-30b	93.00	14.00	28.00	3.00	25.00	9.00	14.00	9.01	11.08	4.55	5.65	4.44	6.99
hsa-miR-30c-5p	23867.00	hsa-mir-30c-1	23867.00	2852.00	1955.00	705.00	9182.00	5908.00	3265.00	1834.48	773.34	1070.19	2075.13	2917.45	1629.88
hsa-miR-30c-1-3p	95.00	hsa-mir-30c-1	95.00	19.00	22.00	8.00	23.00	9.00	14.00	12.22	8.70	12.14	5.20	4.44	6.99
hsa-miR-30c-2-3p	1473.00	hsa-mir-30c-2	1473.00	96.00	241.00	33.00	685.00	171.00	247.00	61.75	95.33	50.09	154.81	84.44	123.30
hsa-miR-30c-5p	23911.00	hsa-mir-30c-2	23911.00	2863.00	1955.00	709.00	9203.00	5910.00	3271.00	1841.56	773.34	1076.26	2079.88	2918.43	1632.87
hsa-miR-30d-3p	172.00	hsa-mir-30d	172.00	13.00	33.00	6.00	61.00	8.00	51.00	8.36	13.05	9.11	13.79	3.95	25.46
hsa-miR-30d-5p	121869.00	hsa-mir-30d	121869.00	12806.00	21716.00	6795.00	37099.00	25324.00	18129.00	8237.17	8590.16	10314.82	8384.38	12505.32	9049.94
hsa-miR-30e-3p	913.00	hsa-mir-30e	913.00	109.00	171.00	23.00	347.00	173.00	90.00	70.11	67.64	34.91	78.42	85.43	44.93
hsa-miR-30e-5p	179507.00	hsa-mir-30e	179507.00	16219.00	23007.00	5816.00	71398.00	29489.00	33578.00	10432.50	9100.84	8828.70	16135.96	14562.05	16762.03
hsa-miR-31-5p	3284.00	hsa-mir-31	3284.00	536.00	1149.00	354.00	631.00	140.00	474.00	344.77	454.51	537.37	142.61	69.13	236.62
hsa-miR-31-3p	27.00	hsa-mir-31	27.00	5.00	4.00	3.00	7.00	2.00	6.00	3.22	1.58	4.55	1.58	0.99	3.00
hsa-miR-3115	0.00	hsa-mir-3115	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3116	7.00	hsa-mir-3116-1	7.00	1.00	3.00	0	1.00	1.00	1.00	0.64	1.19	0	0.23	0.49	0.50
hsa-miR-3116	7.00	hsa-mir-3116-2	7.00	1.00	3.00	0	1.00	1.00	1.00	0.64	1.19	0	0.23	0.49	0.50
hsa-miR-3117-5p	0.00	hsa-mir-3117	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-3p	1.00	hsa-mir-3117	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-3118	0.00	hsa-mir-3118-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118	0.00	hsa-mir-3118-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118	0.00	hsa-mir-3118-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3118	0.00	hsa-mir-3118-4	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0.00	hsa-mir-3119-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0.00	hsa-mir-3119-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	4.00	hsa-mir-3120	4.00	0	3.00	0	0	1.00	0	0	1.19	0	0	0.49	0
hsa-miR-3120-5p	0.00	hsa-mir-3120	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-3p	2.00	hsa-mir-3121	2.00	0	1.00	0	1.00	0	0	0	0.40	0	0.23	0	0
hsa-miR-3121-5p	0.00	hsa-mir-3121	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3122	5.00	hsa-mir-3122	5.00	2.00	1.00	1.00	1.00	0	0	1.29	0.40	1.52	0.23	0	0
hsa-miR-3123	0.00	hsa-mir-3123	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3124-5p	2.00	hsa-mir-3124	2.00	0	0	1.00	0	1.00	0	0	0	1.52	0	0.49	0
hsa-miR-3124-3p	0.00	hsa-mir-3124	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3125	0.00	hsa-mir-3125	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3126-5p	8.00	hsa-mir-3126	8.00	1.00	3.00	1.00	1.00	1.00	1.00	0.64	1.19	1.52	0.23	0.49	0.50
hsa-miR-3126-3p	3.00	hsa-mir-3126	3.00	0	2.00	0	0	1.00	0	0	0.79	0	0	0.49	0
hsa-miR-3127-5p	5.00	hsa-mir-3127	5.00	0	4.00	0	1.00	0	0	0	1.58	0	0.23	0	0
hsa-miR-3127-3p	0.00	hsa-mir-3127	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3128	7.00	hsa-mir-3128	7.00	0	0	0	4.00	2.00	1.00	0	0	0	0.90	0.99	0.50
hsa-miR-3129-5p	2.00	hsa-mir-3129	2.00	0	0	0	2.00	0	0	0	0	0	0.45	0	0
hsa-miR-3129-3p	5.00	hsa-mir-3129	5.00	1.00	0	3.00	1.00	0	0	0.64	0	4.55	0.23	0	0
hsa-miR-3130-3p	35.00	hsa-mir-3130-1	35.00	1.00	11.00	15.00	0	3.00	5.00	0.64	4.35	22.77	0	1.48	2.50
hsa-miR-3130-3p	35.00	hsa-mir-3130-2	35.00	1.00	11.00	15.00	0	3.00	5.00	0.64	4.35	22.77	0	1.48	2.50
hsa-miR-3131	145.00	hsa-mir-3131	145.00	13.00	76.00	0	47.00	9.00	0	8.36	30.06	0	10.62	4.44	0
hsa-miR-3132	4.00	hsa-mir-3132	4.00	0	1.00	0	3.00	0	0	0	0.40	0	0.68	0	0
hsa-miR-3133	14.00	hsa-mir-3133	14.00	2.00	5.00	0	7.00	0	0	1.29	1.98	0	1.58	0	0
hsa-miR-3134	0.00	hsa-mir-3134	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3135a	5.00	hsa-mir-3135a	5.00	0	0	0	4.00	1.00	0	0	0	0	0.90	0.49	0
hsa-miR-3135b	0.00	hsa-mir-3135b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3136-5p	1.00	hsa-mir-3136	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-3136-3p	1.00	hsa-mir-3136	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-3137	1.00	hsa-mir-3137	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-3138	4.00	hsa-mir-3138	4.00	0	1.00	0	2.00	0	1.00	0	0.40	0	0.45	0	0.50
hsa-miR-3139	1.00	hsa-mir-3139	1.00	0	0	0	1.00	0	0	0	0	0	0.23	0	0
hsa-miR-3140-5p	6.00	hsa-mir-3140	6.00	0	0	0	5.00	1.00	0	0	0	0	1.13	0.49	0
hsa-miR-3140-3p	13.00	hsa-mir-3140	13.00	1.00	1.00	0	6.00	4.00	1.00	0.64	0.40	0	1.36	1.98	0.50
hsa-miR-3141	0.00	hsa-mir-3141	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	0.00	hsa-mir-3142	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	0.00	hsa-mir-3142	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3143	51.00	hsa-mir-3143	51.00	3.00	2.00	2.00	28.00	9.00	7.00	1.93	0.79	3.04	6.33	4.44	3.49
hsa-miR-3144-5p	2.00	hsa-mir-3144	2.00	0	0	0	0	2.00	0	0	0	0	0	0.99	0
hsa-miR-3144-3p	3.00	hsa-mir-3144	3.00	0	1.00	0	0	2.00	0	0	0.40	0	0	0.99	0
hsa-miR-3145-5p	0.00	hsa-mir-3145	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3145-3p	0.00	hsa-mir-3145	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3146	1.00	hsa-mir-3146	1.00	0	0	1.00	0	0	0	0	0	1.52	0	0	0
hsa-miR-3147	0.00	hsa-mir-3147	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3148	0.00	hsa-mir-3148	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3149	0.00	hsa-mir-3149	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150a-5p	2.00	hsa-mir-3150a	2.00	0	1.00	0	1.00	0	0	0	0.40	0	0.23	0	0
hsa-miR-3150a-3p	0.00	hsa-mir-3150a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3150b-3p	2.00	hsa-mir-3150b	2.00	0	0	0	2.00	0	0	0	0	0	0.45	0	0
hsa-miR-3150b-5p	0.00	hsa-mir-3150b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-3p	0.00	hsa-mir-3151	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3151-5p	0.00	hsa-mir-3151	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-5p	0.00	hsa-mir-3152	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3152-3p	0.00	hsa-mir-3152	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3153	0.00	hsa-mir-3153	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	0.00	hsa-mir-3154	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3155a	1.00	hsa-mir-3155a	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-3155b	1.00	hsa-mir-3155a	1.00	1.00	0	0	0	0	0	0.64	0	0	0	0	0
hsa-miR-3155b	0.00	hsa-mir-3155b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-3	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3157-3p	7.00	hsa-mir-3157	7.00	0	2.00	0	4.00	0	1.00	0	0.79	0	0.90	0	0.50
hsa-miR-3157-5p	6.00	hsa-mir-3157	6.00	0	3.00	0	2.00	0	1.00	0	1.19	0	0.45	0	0.50
hsa-miR-3158-3p	305.00	hsa-mir-3158-1	305.00	54.00	107.00	35.00	58.00	29.00	22.00	34.73	42.33	53.13	13.11	14.32	10.98
hsa-miR-3158-5p	2.00	hsa-mir-3158-1	2.00	0	0	0	0	0	2.00	0	0	0	0	0	1.00
